2014-2기말시험정답표(전학년) 최종
4,관광창업론,23413,42221,31433,23311,11442,22334,22131
4,관광해설론,23132,34424,41224,31131,34214,31243,13242
4,농업경영학,23412,22413,42423,43123,42431,13231,44133
4,농업·농촌의이해,33113,34122,12231,22342,21433,21434,11232
4,농축산식품이용학,41212,22443,44234,32132,3B332,12331,42132
4,가축사양학2,22341,34444,23432,33441,12132,33321,42214
4,텍스타일기획과표현,23334,43313,41421,24434,21234,43421,12311
4,지역사회영양학,41434,32141,12144,14D43,43121,23121,34331
4,노인복지론,44431,31142,34212,43223,11121,42424,24333
4,패션마케팅,31413,22124,24123,32244,41312,44313,13213
4,식품가공및저장학,13333,41111,33434,11212,21143,34124,44144
4,가족상담및치료,24342,31421,442C3,12323,14322,13413,43133
4,운동과영양,34131,22433,21314,42134,11442,22241,21132
4,전통복식공예디자인,42332,12313,13222,12423,14131,13134,42322
4,비영리기관운영관리,33424,43224,12331,21221,34431,41321,14K12
4,식품위생학,13132,41212,43322,21322,42242,21141,44334
4,시뮬레이션,32444,21331,43411,32444,31213,44241,21243
4,HTML5,14213,31344,11224,23413,22E41,,
4,인공지능,24131,23313,44224,21343,12413,24121,42331
4,데이터분석사례연구,42433,24144,21431,12423,22244,,
4,데이터마이닝,31411,31442,44223,43321,34241,,
4,바이오정보학개론,24134,32423,12324,2F421,23241,,
4,빅데이터의이해,13422,14123,21341,134A2,12342,,
4,환경보건윤리및정책,24331,41123,24123,12443,23341,12321,14332
4,건강증진론,32114,34224,31234,23124,14324,23213,41231
4,토양지하수관리,41212,12232,34334,33433,42434,13442,41334
4,용수및하폐수처리,11441,42133,33344,23443,42232,24143,21143
4,노인간호학,31212,42343,24434,34434,32123,32433,12443
4,간호지도자론,23214,43231,11433,23143,32241,13443,22442
4,간호학특론,14312,41243,11432,44143,32413,21432,13441
4,간호윤리와법,42123,44143,21234,32241,43334,21131,14212
4,청소년인권과참여,31234,34311,24143,31333,41424,21331,24234
4,인간관계론,12234,21234,42434,41233,14223,1423C,31442
4,교육고전의이해,23131,23422,43342,24412,32422,14334,14142
4,심리검사및측정,13243,13342,22342,34421,23421,11141,34421
4,교육문제연구론,33412,14321,32214,32143,21414,23421,14332
4,노인교육론,33412,14313,41244,14332,42312,23232,14421
4,놀이지도,23343,24124,13213,42413,24321,43122,34123
4,영유아프로그램개발과평가,22314,24344,22231,31414,31232,41143,23412
4,"성,사랑,사회",42413,11344,32323,42143,33114,34434,23411
4,전통사회와생활문화,14222,34412,44133,2K114,41312,34312,31213
4,문화비평과미학,23411,12314,23421,34231,23412,34412,44321
4,세계의종교,34124,13243,21324,12431,34211,24324,12341
4,한국문화와유물유적,21341,43343,11241,44332,22132,43213,41143
4,제3세계의역사와문화,41322,31434,21234,14324,13421,,
4,공연예술의이해와감상,21334,12414,23214,33112,143C4,24313,34223
