2016학년도 2학기 기말시험 정답표
3,인간행동과사회환경,31131,24231,44431,34323,32232,33122,43121
3,청소년문제,44422,431C2,33233,44321,11322,44213,44412
3,청소년지도방법론,22243,31342,32112,43224,13114,11412,24332
3,평생교육경영론,22112,24114,41142,31314,21123,42341,42132
3,평생교육프로그램개발,41321,44143,21242,34312,42324,42314,31244
3,청소년프로그램개발및평가,33414,22333,32442,23124,31241,24121,42113
3,사회복지조사론,34121,14323,21432,21441,21343,32123,34214
3,평생교육실무론,21314,23221,43142,42313,41243,31424,23124
3,교직실무,42413,24412,33312,14321,14313,34214,12243
3,유아동작교육,34332,31321,12422,34412,32414,31242,43421
3,열린사회와21세기,34221,44414,43221,44434,33431,14424,24434
3,전통사회와생활문화,41314,24123,11334,34122,34134,13422,41232
3,근대화와동서양,22334,42131,13441,42312,14312,? ,? 
3,동양철학산책,24324,22412,32442,14434,31431,22333,K2142
3,생명공학과인간의미래,24134,23122,41321,3K322,31131,? ,? 
3,공연예술의이해와감상,43242,23412,11334,32421,21324,11332,42413
3,집단상담의기초,32421,43212,42344,24144,33124,43113,23212
4,현대의서양문화,13234,14341,22441,21424,32311,34433,22311
4,현대소설론,13344,31323,22232,12314,41214,23331,23341
4,한국희곡론,44334,31342,32431,33423,32112,34131,24214
4,한국한문학의이해,21411,42143,23134,21422,23224,41414,31244
4,한국어교육론,34122,12314,43322,21433,1114D,32123,13321
4,언어와의미,43132,13413,31321,44224,32244,22322,11334
4,국문학연습,34412,34212,33244,31313,23143,12434,13324
4,영어의역사,21344,13241,31422,31211,32441,132K3,31241
4,영미시,34113,42441,41321,23131,44142,41341,43213
4,고급영문강독,42433,21213,11241,33323,21344,13234,21233
4,중국어작문,14223,13143,21321,41333,43411,33443,44222
4,영상중국어,41321,32242,42331,2231A,24331,43321,231K4
4,중국시사텍스트특강,21412,33242,43114,21421,32141,? ,? 
4,중국현대문학작품선,13224,31314,22421,34141,41332,? ,? 
4,오늘날의프랑스,23121,44241,43124,32324,32332,33234,43F22
4,프랑스어와문화,44141,14414,41123,32321,21211,22344,14144
4,프랑스어권연구,41241,34123,31434,21432,31121,12144,12124
4,시사프랑스어,32414,22433,12413,11411,42234,24231,33413
4,전근대한일관계사,31441,23314,22433,12412,42341,? ,? 
4,일본문학의흐름,41221,32331,42334,22412,32323,21431,42122
4,일본학원서강독,13231,41324,41144,24323,14333,14142,32113
4,일본의언어와문화,31421,43122,31423,41342,14322,34132,41324
4,교육심리학,34412,14324,23443,13322,11413,22234,2K112
4,교육행정및경영,41142,33142,13124,32143,12243,14243,12113
4,유아교육기관운영관리,21314,12323,23232,41413,14214,43423,22413
4,아동복지,32313,22214,34342,11444,12134,34342,24412
4,특수아교육,33343,33423,32324,14441,33413,22144,42341
4,통치의기본구조,13442,21234,13143,21123,43123,? ,? 
4,형사정책,24432,31243,21431,34123,23142,? ,? 
4,국제법,34122,23143,41423,31321,23414,41143,11234
4,친족상속법,113K3,34244,12423,32113,31442,3D131,31224
4,세법,13244,12224,13314,22312,33343,11342,13434
4,환경법,33132,13442,44144,23143,44213,14132,34423
4,공공관리론,33413,11424,21231,11323,32142,? ,? 
4,정책분석론,32214,43111,23243,42113,23244,? ,? 
4,행정변동론,14434,14122,44311,33424,41243,? ,? 
4,정부기업관계론,34432,11432,41234,31411,14244,? ,? 
4,한국경제의이해,44143,32231,14233,21A24,31214,? ,? 
4,부동산시장과정책,31432,22442,21432,33411,11144,42242,11322
4,보건경제학,24441,D4212,14142,33323,41234,43242,11212
4,환경경제학,14324,21122,43421,31441,32411,43232,14323
4,경영전략론,11413,34143,42231,41124,24113,34412,31232
4,경영학특강,33343,14322,42413,244K1,14133,13442,11214
4,비영리조직경영론,41112,23413,14411,43332,14424,11221,32243
4,금융제도의이해,24341,34411,34132,24213,34342,42324,14342
4,마케팅특강,23144,13124,13421,23211,23334,24422,14231
4,한국무역론,44411,34211,12341,42111,41334,11124,43431
4,무역법규,34132,431G4,24431,44323,12211,32224,41313
4,국제경제환경론,4231K,32433,31444,31331,34413,32342,21243
4,국제물류론,32121,32434,23431,34143,42414,13142,21232
4,홍보론,33432,23434,34124,24321,43433,21223,32142
4,영화기획제작,13241,24321,34321,44321,12341,23421,33241
4,소셜미디어,33232,43331,43313,23421,44343,12411,23423
4,미디어심리학의이해,14344,1K233,13431,32323,13341,32211,22431
4,지역관광론,42224,11423,24311,44312,43412,14421,12231
4,관광창업론,33242,11323,21444,22311,13442,11133,42241
4,관광해설론,42214,12414,34434,43234,24323,14212,32421
4,농업경영학,13214,33321,32423,14331,42231,31422,13442
4,농업·농촌의이해,FD431,13422,41234,12123,23414,41321,31324
4,농축산식품이용학,31342,44213,23143,31242,14D12,31432,32334
4,가축사양학2,12232,42343,43C31,11124,43144,A3414,21224
4,텍스타일기획과표현,31313,13213,13413,42213,34141,24313,41314
4,지역사회영양학,34332,14222,41442,44241,31221,13341,13443
4,노인복지론,42121,43423,14324,31F23,41231,32413,23412
4,패션마케팅,12343,31412,11324,23K24,41214,32134,22433
4,식품가공및저장학,13142,31241,32243,34331,24212,42314,43113
4,가족상담및치료,11234,41422,32413,24311,14233,21441,23411
4,운동과영양,43224,A3311,33234,42114,14423,24214,23143
4,전통복식공예디자인,12343,24213,13223,13114,41312,33123,31424
4,비영리기관운영관리,32424,21241,34134,31143,21413,21142,23433
4,식품위생학,34424,13422,41443,34431,23213,14234,11322
4,시뮬레이션,32114,23331,44314,11322,42341,44124,31121
4,HTML5,21223,23214,24422,43134,22423,? ,? 
4,인공지능,21423,41413,12412,34324,31214,13423,34123
4,데이터분석사례연구,43433,21434,33222,13211,21343,? ,? 
4,데이터마이닝,13444,22112,31223,41421,44412,? ,? 
4,바이오정보학개론,24134,32423,12324,23421,23241,? ,? 
4,빅데이터의이해,21142,32A34,12312,31244,32324,? ,? 
4,고급R활용,24321,34213,42141,32213,23124,? ,? 
4,건강증진론,23414,31123,42143,14323,14324,31213,24243
4,토양지하수관리,43234,12124,33424,22133,13441,14314,24144
4,용수및하폐수처리,33242,33214,12334,24113,44233,12143,14412
4,노인간호학,23134,14142,23342,44113,32121,14434,21342
4,간호지도자론,24133,34342,33212,23324,43113,42241,44233
4,간호학특론,44144,24333,13421,12423,12432,13423,14123
4,간호윤리와법,42324,14232,31334,43322,44121,32323,34123
4,청소년인권과참여,13243,12443,13134,23223,21341,24144,12234
4,인간관계론,24224,42344,34233,32J22,43232,22422,32412
4,교육고전의이해,32143,21133,33112,21133,44234,32343,31423
4,심리검사및측정,21143,24144,14334,31414,41213,22332,13232
4,교육문제연구론,24132,41231,31224,31124,14334,21342,14323
4,놀이지도,13212,34432,34444,33232,13413,22141,41211
4,영유아프로그램개발과평가,13214,23433,12232,24343,13214,24314,21414
4,"성,사랑,사회",43132,32432,32413,13144,33223,21432,13444
4,전통사회와생활문화,11233,24412,33331,42341,33214,13241,34341
4,문화비평과미학,23314,34132,42142,31244,31421,34214,34132
4,세계의종교,21341,32413,43224,24144,43221,34413,11112
4,한국문화와유물유적,12232,43124,43241,21244,13423,14134,12443
4,제3세계의역사와문화,41213,44413,21113,23422,41243,? ,? 
4,공연예술의이해와감상,32123,13124,12423,43133,12142,34112,43222
